date,opponent,goals,assists,points,plus_minus,SOG,TOI,result,team_score,opp_score,game_number,game_context,season,opp_goalie_id,opp_goalie_name,is_elimination_game,rest_days,is_back_to_back,rolling_pts_5,opp_ga_per_game,opp_goalie_sv_pct
2022-10-22,STL,0,0,0,-1,2.0,24.5,L,0,2,,regular_season,2022-23,8476412,J. Binnington,False,2.0,False,2.5,3.6707,0.9071574453999186
2022-10-24,PIT,0,0,0,1,2.0,19.23333333333333,W,6,3,,regular_season,2022-23,8477465,T. Jarry,False,2.0,False,2.0,3.2195,0.9145900877317622
2022-10-26,STL,0,1,1,1,4.0,21.166666666666668,W,3,1,,regular_season,2022-23,8476412,J. Binnington,False,2.0,False,1.2,3.6707,0.9080260568798448
2022-10-27,CHI,3,1,4,0,4.0,21.116666666666667,W,6,5,,regular_season,2022-23,8471774,A. Stalock,False,1.0,True,1.2,3.6707,0.9073606760322083
2022-10-29,CGY,1,2,3,0,1.0,19.0,W,3,2,,regular_season,2022-23,8474593,J. Markstrom,False,2.0,False,1.8,3.0732,0.9124893571376643
2022-11-01,NSH,2,2,4,2,8.0,18.48333333333333,W,7,4,,regular_season,2022-23,8477424,J. Saros,False,3.0,False,1.6,2.8889,0.9138491113933124
2022-11-03,NJD,1,1,2,0,4.0,23.98333333333333,L,3,4,,regular_season,2022-23,8478406,M. Blackwood,False,2.0,False,2.4,2.7561,0.8990619586143502
2022-11-05,DAL,0,1,1,-2,5.0,22.75,L,2,6,,regular_season,2022-23,8475809,S. Wedgewood,False,2.0,False,2.8,2.6585,0.9089024125306595
2022-11-07,WSH,1,1,2,2,5.0,23.95,L,4,5,,regular_season,2022-23,8479292,C. Lindgren,False,2.0,False,2.8,3.2317,0.9127828123859268
2022-11-08,TBL,1,1,2,0,5.0,23.683333333333334,W,3,2,,regular_season,2022-23,8476883,A. Vasilevskiy,False,1.0,True,2.4,3.0976,0.9143116272733255
2022-11-10,CAR,1,1,2,-1,3.0,18.6,L,2,7,,regular_season,2022-23,8481611,P. Kochetkov,False,2.0,False,2.2,2.5976,0.9037276362596158
2022-11-12,FLA,0,1,1,0,4.0,21.78333333333333,W,4,2,,regular_season,2022-23,8481519,S. Knight,False,2.0,False,1.8,3.3293,0.9109013945273472
2022-11-16,LAK,0,0,0,-1,1.0,22.716666666666665,L,1,3,,regular_season,2022-23,8477361,C. Petersen,False,4.0,False,1.6,3.1341,0.8969329171747448
2022-11-19,VGK,1,1,2,1,6.0,23.2,W,4,3,,regular_season,2022-23,8478499,A. Hill,False,3.0,False,1.4,2.7927,0.9092423824607255
2022-11-21,NJD,0,1,1,-1,5.0,23.766666666666666,L,2,5,,regular_season,2022-23,8477970,V. Vanecek,False,2.0,False,1.4,2.7561,0.9066214901001085
2022-11-23,NYI,0,0,0,-1,3.0,24.48333333333333,L,0,3,,regular_season,2022-23,8478009,I. Sorokin,False,2.0,False,1.2,2.7073,0.9182183530569207
2022-11-26,NYR,0,1,1,-1,3.0,25.28333333333333,W,4,3,,regular_season,2022-23,8478048,I. Shesterkin,False,3.0,False,0.8,2.6707,0.922966891484213
2022-11-28,FLA,1,2,3,2,5.0,26.7,W,4,3,,regular_season,2022-23,8481519,S. Knight,False,2.0,False,0.8,3.3293,0.9090807312386074
2022-11-30,CHI,1,1,2,2,9.0,27.1,W,5,4,,regular_season,2022-23,8482821,A. Soderblom,False,2.0,False,1.4,3.6707,0.9035206709364292
2022-12-01,MIN,1,1,2,0,2.0,21.2,L,3,5,,regular_season,2022-23,8470594,M. Fleury,False,1.0,True,1.4,2.7439,0.9052326538100244
2022-12-03,MTL,2,2,4,1,2.0,22.7,W,5,3,,regular_season,2022-23,8474596,J. Allen,False,2.0,False,1.6,3.7439,0.9030918536292117
2022-12-05,WSH,1,0,1,-1,1.0,23.45,L,2,3,,regular_season,2022-23,8479292,C. Lindgren,False,2.0,False,2.4,3.2317,0.9075870119451992
2022-12-07,ARI,2,2,4,2,5.0,18.53333333333333,W,8,2,,regular_season,2022-23,8478971,C. Ingram,False,2.0,False,2.4,3.6463,0.9012186465351764
2022-12-09,MIN,1,1,2,0,4.0,23.016666666666666,W,5,2,,regular_season,2022-23,8470594,M. Fleury,False,2.0,False,2.6,2.7439,0.9045073479200143
2022-12-12,MIN,0,1,1,-1,3.0,24.58333333333333,L,1,2,,regular_season,2022-23,8470594,M. Fleury,False,3.0,False,2.6,2.7439,0.9032631359288277
2022-12-13,NSH,1,3,4,3,6.0,18.516666666666666,W,6,3,,regular_season,2022-23,8480947,K. Lankinen,False,1.0,True,2.4,2.8889,0.9050461955593426
2022-12-15,STL,1,0,1,-2,4.0,29.383333333333333,L,3,4,,regular_season,2022-23,8476412,J. Binnington,False,2.0,False,2.4,3.6707,0.9022099261666324
2022-12-17,ANA,1,1,2,-1,8.0,25.5,L,3,4,,regular_season,2022-23,8480843,L. Dostal,False,2.0,False,2.4,4.122,0.9034740858691501
2022-12-19,NSH,0,2,2,-2,1.0,25.0,L,3,4,,regular_season,2022-23,8477424,J. Saros,False,2.0,False,2.0,2.8889,0.9109680300009441
2022-12-21,DAL,1,0,1,1,1.0,20.4,W,6,3,,regular_season,2022-23,8479979,J. Oettinger,False,2.0,False,2.0,2.6585,0.9162663848710484
2022-12-23,VAN,1,0,1,-1,4.0,23.716666666666665,L,2,5,,regular_season,2022-23,8480420,C. Delia,False,2.0,False,2.0,3.6341,0.9040895881045792
2022-12-27,CGY,1,0,1,0,1.0,21.15,W,2,1,,regular_season,2022-23,8474593,J. Markstrom,False,4.0,False,1.4,3.0732,0.9066295997683854
2022-12-30,SEA,1,4,5,3,3.0,16.016666666666666,W,7,2,,regular_season,2022-23,8475831,P. Grubauer,False,3.0,False,1.4,3.122,0.8988109319677088
2022-12-31,WPG,0,0,0,-1,4.0,23.83333333333333,L,1,2,,regular_season,2022-23,8476945,C. Hellebuyck,False,1.0,True,2.0,2.7439,0.9120829619642324
2023-01-03,SEA,1,0,1,-1,6.0,21.3,L,2,5,,regular_season,2022-23,8474889,M. Jones,False,3.0,False,1.6,3.122,0.8982309068045691
2023-01-05,NYI,0,2,2,1,3.0,24.83333333333333,W,4,2,,regular_season,2022-23,8478009,I. Sorokin,False,2.0,False,1.6,2.7073,0.9186356474991692
2023-01-07,COL,0,1,1,-3,4.0,26.066666666666663,L,2,3,,regular_season,2022-23,8480382,A. Georgiev,False,2.0,False,1.8,2.7531,0.9073233825304382
2023-01-09,LAK,1,0,1,-1,4.0,22.166666666666668,L,3,6,,regular_season,2022-23,8477831,P. Copley,False,2.0,False,1.8,3.1341,0.9044969996737862
2023-01-11,ANA,1,1,2,1,8.0,15.516666666666667,W,6,2,,regular_season,2022-23,8476434,J. Gibson,False,2.0,False,1.0,4.122,0.8985512615215352
2023-01-13,SJS,2,1,3,0,5.0,18.3,W,7,1,,regular_season,2022-23,8478039,K. Kahkonen,False,2.0,False,1.4,3.9146,0.9005203979696538
2023-01-14,VGK,0,1,1,1,8.0,22.73333333333333,W,4,3,,regular_season,2022-23,8480313,L. Thompson,False,1.0,True,1.8,2.7927,0.9106144422528892
2023-01-17,SEA,1,0,1,1,4.0,22.633333333333333,W,5,2,,regular_season,2022-23,8474889,M. Jones,False,3.0,False,1.6,3.122,0.8989848419326614
2023-01-19,TBL,1,1,2,-2,6.0,23.73333333333333,W,5,3,,regular_season,2022-23,8476883,A. Vasilevskiy,False,2.0,False,1.6,3.0976,0.9133187358237963
2023-01-21,VAN,1,1,2,0,7.0,23.816666666666663,W,4,2,,regular_season,2022-23,8477484,S. Martin,False,2.0,False,1.8,3.6341,0.8997346655948862
2023-01-25,CBJ,0,1,1,-1,3.0,23.98333333333333,L,2,3,,regular_season,2022-23,8476914,J. Korpisalo,False,4.0,False,1.8,4.0123,0.9026869714775685
2023-01-28,CHI,1,2,3,3,6.0,20.966666666666665,W,7,3,,regular_season,2022-23,8475852,P. Mrazek,False,3.0,False,1.4,3.6707,0.89600204480639
2023-02-07,DET,0,1,1,1,3.0,23.48333333333333,W,5,2,,regular_season,2022-23,8478024,V. Husso,False,10.0,False,1.8,3.4024,0.903106881181525
2023-02-09,PHI,0,1,1,1,5.0,23.916666666666668,L,1,2,,regular_season,2022-23,8479394,C. Hart,False,2.0,False,1.8,3.378,0.9045572364890639
2023-02-11,OTT,1,2,3,1,4.0,22.016666666666666,W,6,3,,regular_season,2022-23,8476341,A. Forsberg,False,2.0,False,1.6,3.3049,0.910588026414365
2023-02-12,MTL,0,0,0,-3,7.0,23.85,L,2,6,,regular_season,2022-23,8474596,J. Allen,False,1.0,True,1.8,3.7439,0.9006367940519829
2023-02-15,DET,0,2,2,1,8.0,26.183333333333334,L,4,5,,regular_season,2022-23,8478024,V. Husso,False,3.0,False,1.6,3.4024,0.9042974405264237
2023-02-17,NYR,0,2,2,-1,4.0,23.58333333333333,L,4,5,,regular_season,2022-23,8478048,I. Shesterkin,False,2.0,False,1.4,2.6707,0.9179260940553363
2023-02-19,COL,0,1,1,-2,4.0,24.75,L,5,6,,regular_season,2022-23,8480382,A. Georgiev,False,2.0,False,1.6,2.7531,0.9110067220801644
2023-02-21,PHI,2,1,3,2,9.0,25.98333333333333,W,4,2,,regular_season,2022-23,8479394,C. Hart,False,2.0,False,1.6,3.378,0.9056422327135981
2023-02-23,PIT,2,2,4,2,7.0,19.53333333333333,W,7,2,,regular_season,2022-23,8477465,T. Jarry,False,2.0,False,1.6,3.2195,0.9121965195337249
2023-02-25,CBJ,2,2,4,3,7.0,22.83333333333333,L,5,6,,regular_season,2022-23,8476914,J. Korpisalo,False,2.0,False,2.4,4.0123,0.9045000100391674
2023-02-27,BOS,2,0,2,0,5.0,24.45,L,2,3,,regular_season,2022-23,8480280,J. Swayman,False,2.0,False,2.8,2.1585,0.9069109522807443
2023-03-01,TOR,2,1,3,2,3.0,21.73333333333333,W,5,2,,regular_season,2022-23,8478492,I. Samsonov,False,2.0,False,2.8,2.7073,0.9072471027860869
2023-03-03,WPG,0,3,3,-1,6.0,20.45,W,6,3,,regular_season,2022-23,8476945,C. Hellebuyck,False,2.0,False,3.2,2.7439,0.9135216977210305
2023-03-04,WPG,0,1,1,-2,4.0,23.383333333333333,L,5,7,,regular_season,2022-23,8476945,C. Hellebuyck,False,1.0,True,3.2,2.7439,0.9128949637323694
