goalie_id,season,date,game_type,games_started,shots_against,goals_against
8470860,2022-23,2023-04-06,2,1,22,3
8470860,2022-23,2023-04-13,2,1,21,3
8470880,2020-21,2021-01-18,2,0,15,2
8470880,2020-21,2021-01-19,2,1,40,0
8470880,2020-21,2021-01-26,2,1,26,3
8470880,2020-21,2021-01-31,2,1,36,3
8470880,2020-21,2021-02-05,2,1,23,2
8470880,2020-21,2021-02-21,2,0,12,1
8470880,2020-21,2021-02-24,2,1,27,3
8470880,2020-21,2021-02-27,2,1,23,0
8470880,2020-21,2021-03-04,2,1,29,3
8470880,2020-21,2021-03-06,2,1,27,4
8470880,2020-21,2021-03-09,2,0,12,1
8470880,2020-21,2021-03-11,2,1,21,4
8470880,2020-21,2021-03-13,2,1,10,3
8470880,2020-21,2021-03-17,2,1,13,5
8470880,2020-21,2021-03-22,2,1,20,2
8470880,2020-21,2021-03-25,2,0,11,3
8470880,2020-21,2021-03-27,2,1,25,1
8470880,2020-21,2021-03-29,2,1,32,3
8470880,2020-21,2021-03-31,2,1,16,4
8470880,2020-21,2021-04-05,2,1,29,2
8470880,2020-21,2021-04-10,2,1,32,2
8470880,2020-21,2021-04-13,2,1,32,6
8470880,2020-21,2021-04-18,2,1,28,1
8470880,2020-21,2021-04-22,2,1,35,2
8470880,2020-21,2021-04-25,2,1,32,3
8470880,2020-21,2021-04-27,2,1,26,5
8470880,2020-21,2021-05-01,2,1,21,4
8470880,2020-21,2021-05-04,2,1,30,6
8470880,2020-21,2021-05-07,2,1,30,2
8470880,2020-21,2021-05-10,2,1,25,2
8470880,2021-22,2021-10-25,2,1,23,3
8470880,2021-22,2021-11-06,2,1,27,3
8470880,2021-22,2021-11-21,2,1,32,4
8470880,2021-22,2021-11-30,2,1,33,3
8470880,2021-22,2021-12-05,2,1,39,1
8470880,2021-22,2021-12-11,2,1,22,3
8470880,2021-22,2021-12-21,2,0,0,0
8470880,2021-22,2021-12-31,2,1,23,3
8470880,2021-22,2022-01-22,2,1,28,1
8470880,2021-22,2022-02-11,2,1,19,3
8470880,2021-22,2022-03-04,2,1,23,1
8470880,2021-22,2022-03-12,2,1,48,3
8470880,2021-22,2022-03-26,2,1,27,1
8470880,2021-22,2022-04-02,2,1,31,4
8470880,2021-22,2022-04-10,2,1,28,0
8470880,2021-22,2022-04-14,2,0,13,0
8470880,2021-22,2022-04-16,2,1,18,4
8470880,2021-22,2022-04-23,2,1,21,2
8470880,2021-22,2022-04-28,2,1,34,4
8470880,2022-23,2022-10-15,2,1,44,5
8470880,2022-23,2022-10-22,2,1,35,3
8470880,2022-23,2022-10-26,2,1,21,2
8470880,2022-23,2022-11-05,2,1,24,3
8470880,2022-23,2022-11-15,2,1,32,4
8470880,2022-23,2022-11-28,2,1,37,5
8470880,2022-23,2022-12-08,2,1,36,2
8470880,2022-23,2022-12-15,2,1,25,1
8470880,2022-23,2022-12-21,2,1,29,5
8470880,2022-23,2023-01-03,2,1,26,1
8470880,2022-23,2023-01-04,2,1,32,4
8470880,2022-23,2023-01-18,2,1,39,2
8470880,2022-23,2023-02-07,2,1,22,4
8470880,2022-23,2023-02-15,2,1,26,0
8470880,2022-23,2023-02-26,2,1,36,7
8470880,2022-23,2023-03-04,2,1,34,5
8470880,2022-23,2023-03-11,2,1,23,1
8470880,2022-23,2023-03-18,2,1,21,3
8470880,2022-23,2023-03-23,2,1,34,6
8470880,2022-23,2023-04-06,2,1,42,6
8470880,2022-23,2023-04-08,2,1,39,6
8470880,2022-23,2023-04-13,2,1,32,0
8471306,2020-21,2021-01-14,2,1,42,2
8471306,2020-21,2021-01-18,2,1,29,3
8471306,2020-21,2021-01-22,2,1,27,3
8471306,2020-21,2021-01-26,2,1,22,2
8471306,2020-21,2021-01-28,2,0,9,3
8471306,2020-21,2021-01-30,2,1,26,3
8471306,2020-21,2021-01-31,2,1,30,3
8471306,2020-21,2021-02-03,2,1,6,3
8471306,2020-21,2021-02-05,2,1,31,2
8471306,2020-21,2021-02-07,2,1,37,1
8471306,2020-21,2021-02-09,2,1,22,2
8471306,2020-21,2021-02-11,2,1,23,3
8471306,2020-21,2021-02-15,2,1,24,3
8471306,2020-21,2021-02-19,2,1,13,4
8471306,2020-21,2021-02-28,2,1,32,7
8471306,2020-21,2021-03-02,2,0,9,0
8471306,2020-21,2021-03-09,2,1,29,4
8471306,2020-21,2021-03-18,2,0,18,2
8471306,2020-21,2021-03-20,2,1,33,3
8471306,2020-21,2021-03-23,2,1,34,2
8471306,2020-21,2021-03-25,2,1,7,3
8471306,2020-21,2021-03-30,2,0,25,1
8471306,2020-21,2021-04-01,2,1,36,3
8471306,2020-21,2021-04-03,2,1,29,2
8471306,2020-21,2021-04-04,2,1,28,1
8471306,2020-21,2021-04-06,2,1,31,2
8471306,2020-21,2021-04-10,2,1,34,4
8471306,2020-21,2021-04-15,2,1,25,1
8471306,2020-21,2021-04-19,2,1,36,2
8471306,2020-21,2021-04-20,2,0,11,0
8471306,2020-21,2021-04-22,2,1,46,3
8471306,2020-21,2021-04-27,2,1,33,0
8471306,2020-21,2021-05-01,2,1,33,0
8471306,2020-21,2021-05-07,2,1,24,2
8471306,2021-22,2021-10-16,2,1,41,1
8471306,2021-22,2021-10-19,2,1,23,1
8471306,2021-22,2021-10-23,2,1,17,5
8471306,2021-22,2021-10-27,2,1,28,2
8471306,2021-22,2021-10-30,2,1,38,5
8471306,2021-22,2021-11-04,2,1,37,5
8471306,2021-22,2021-11-07,2,1,40,2
8471306,2021-22,2021-11-11,2,1,29,2
8471306,2021-22,2021-11-15,2,1,37,4
8471306,2021-22,2021-11-18,2,1,22,4
8471306,2021-22,2021-12-01,2,1,24,3
8471306,2021-22,2021-12-09,2,0,7,2
8471306,2021-22,2021-12-10,2,1,7,3
8471306,2021-22,2021-12-18,2,1,33,2
8471306,2021-22,2021-12-31,2,1,26,2
8471306,2021-22,2022-01-09,2,1,27,3
8471306,2021-22,2022-02-12,2,1,34,2
8471306,2021-22,2022-02-17,2,1,39,2
8471306,2021-22,2022-02-23,2,1,30,4
8471306,2021-22,2022-02-26,2,0,14,4
8471306,2021-22,2022-03-05,2,1,23,5
8471306,2021-22,2022-03-08,2,0,3,2
8471306,2021-22,2022-03-12,2,1,43,3
8471306,2021-22,2022-03-15,2,1,6,3
8471306,2021-22,2022-03-24,2,1,16,3
8471306,2021-22,2022-04-03,2,1,34,3
8471306,2021-22,2022-04-06,2,1,33,1
8471306,2021-22,2022-04-12,2,1,30,2
8471306,2021-22,2022-04-16,2,1,37,4
8471306,2021-22,2022-04-19,2,1,41,3
8471306,2021-22,2022-04-23,2,1,23,5
8471734,2020-21,2021-01-14,2,1,27,4
8471734,2020-21,2021-01-16,2,1,44,4
8471734,2020-21,2021-01-21,2,1,26,2
8471734,2020-21,2021-01-24,2,1,31,3
8471734,2020-21,2021-01-28,2,1,28,5
8471734,2020-21,2021-02-05,2,1,10,4
8471734,2020-21,2021-02-16,2,1,28,0
8471734,2020-21,2021-02-18,2,1,22,2
8471734,2020-21,2021-02-22,2,1,31,0
8471734,2020-21,2021-02-26,2,1,30,3
