date,opponent,goals,assists,points,plus_minus,SOG,TOI,result,team_score,opp_score,game_number,game_context,season,is_elimination_game,rest_days,is_back_to_back,rolling_pts_5,opp_ga_per_game
2023-01-25,CBJ,0,0,0,-2,2,24.366666666666667,L,2,3,,regular_season,2022-23,False,4.0,False,2.0,4.0123
2023-01-28,CHI,1,2,3,2,3,17.933333333333334,W,7,3,,regular_season,2022-23,False,3.0,False,1.4,3.6707
2023-02-07,DET,0,0,0,-2,0,20.116666666666667,W,5,2,,regular_season,2022-23,False,10.0,False,1.6,3.4024
2023-02-09,PHI,0,0,0,-1,0,21.2,L,1,2,,regular_season,2022-23,False,2.0,False,1.2,3.378
2023-02-11,OTT,0,2,2,1,8,23.3,W,6,3,,regular_season,2022-23,False,2.0,False,0.8,3.3049
2023-02-12,MTL,1,0,1,-3,4,22.383333333333333,L,2,6,,regular_season,2022-23,False,1.0,True,1.0,3.7439
2023-02-15,DET,1,0,1,-1,4,24.23333333333333,L,4,5,,regular_season,2022-23,False,3.0,False,1.2,3.4024
2023-02-17,NYR,1,0,1,-1,3,22.683333333333334,L,4,5,,regular_season,2022-23,False,2.0,False,0.8,2.6707
2023-02-19,COL,1,0,1,-1,4,25.066666666666663,L,5,6,,regular_season,2022-23,False,2.0,False,1.0,2.7531
2023-02-21,PHI,1,2,3,0,1,21.58333333333333,W,4,2,,regular_season,2022-23,False,2.0,False,1.2,3.378
2023-02-23,PIT,1,1,2,0,2,17.5,W,7,2,,regular_season,2022-23,False,2.0,False,1.4,3.2195
2023-02-25,CBJ,1,0,1,1,5,24.383333333333333,L,5,6,,regular_season,2022-23,False,2.0,False,1.6,4.0123
2023-02-27,BOS,0,1,1,-1,1,22.433333333333334,L,2,3,,regular_season,2022-23,False,2.0,False,1.6,2.1585
2023-03-01,TOR,0,1,1,0,1,21.416666666666668,W,5,2,,regular_season,2022-23,False,2.0,False,1.6,2.7073
2023-03-03,WPG,2,1,3,3,3,21.416666666666668,W,6,3,,regular_season,2022-23,False,2.0,False,1.6,2.7439
2023-03-04,WPG,3,0,3,-1,5,23.966666666666665,L,5,7,,regular_season,2022-23,False,1.0,True,1.6,2.7439
2023-03-06,BUF,0,0,0,-1,2,17.65,W,3,2,,regular_season,2022-23,False,2.0,False,1.8,3.679
2023-03-09,BOS,0,1,1,1,3,22.866666666666667,W,3,2,,regular_season,2022-23,False,3.0,False,1.6,2.1585
2023-03-11,TOR,1,0,1,-2,4,21.1,L,4,7,,regular_season,2022-23,False,2.0,False,1.6,2.7073
2023-03-14,OTT,2,0,2,2,6,20.23333333333333,W,6,3,,regular_season,2022-23,False,3.0,False,1.6,3.3049
