date,opponent,goals,assists,points,plus_minus,SOG,TOI,result,team_score,opp_score,game_number,game_context,season,opp_goalie_id,opp_goalie_name
2023-03-04,WPG,3,0,3,-1,5,23.966666666666665,L,5,7,,regular_season,2022-23,8476945,C. Hellebuyck
2023-03-06,BUF,0,0,0,-1,2,17.65,W,3,2,,regular_season,2022-23,8467950,C. Anderson
2023-03-09,BOS,0,1,1,1,3,22.866666666666667,W,3,2,,regular_season,2022-23,8480280,J. Swayman
2023-03-11,TOR,1,0,1,-2,4,21.1,L,4,7,,regular_season,2022-23,8476899,M. Murray
2023-03-14,OTT,2,0,2,2,6,20.233333333333334,W,6,3,,regular_season,2022-23,8481544,M. Sogaard
2023-03-16,DAL,0,1,1,1,2,20.9,W,4,1,,regular_season,2022-23,8479979,J. Oettinger
2023-03-18,SEA,0,3,3,0,2,22.133333333333333,W,6,4,,regular_season,2022-23,8475831,P. Grubauer
2023-03-20,SJS,0,2,2,1,7,26.266666666666666,W,5,4,,regular_season,2022-23,8473503,J. Reimer
2023-03-22,ARI,0,4,4,1,3,24.75,W,4,3,,regular_season,2022-23,8478971,C. Ingram
2023-03-25,VGK,1,1,2,-1,4,19.133333333333333,L,3,4,,regular_season,2022-23,8476316,L. Brossoit
2023-03-27,ARI,1,1,2,0,1,17.783333333333335,W,5,4,,regular_season,2022-23,8478872,K. Vejmelka
2023-03-28,VGK,1,1,2,0,4,18.15,W,7,4,,regular_season,2022-23,8471734,J. Quick
2023-03-30,LAK,0,1,1,1,2,23.75,W,2,0,,regular_season,2022-23,8476914,J. Korpisalo
2023-04-01,ANA,3,0,3,4,9,20.716666666666665,W,6,0,,regular_season,2022-23,8476434,J. Gibson
2023-04-04,LAK,1,2,3,0,2,22.683333333333334,W,3,1,,regular_season,2022-23,8477831,P. Copley
2023-04-05,ANA,0,0,0,0,3,18.616666666666667,W,3,1,,regular_season,2022-23,8480843,L. Dostal
