date,opponent,goals,assists,points,plus_minus,SOG,TOI,result,team_score,opp_score,game_number,game_context,season,opp_goalie_id,opp_goalie_name
2023-11-18,CAR,2,0,2,1,2,17.933333333333334,L,2,4,,regular_season,2023-24,8477293,A. Raanta
2023-11-19,VGK,0,0,0,1,4,17.366666666666667,W,3,0,,regular_season,2023-24,8478499,A. Hill
2023-11-22,NYR,0,0,0,0,4,21.316666666666666,L,0,1,,regular_season,2023-24,8471734,J. Quick
2023-11-24,BUF,1,0,1,0,5,19.233333333333334,L,2,3,,regular_season,2023-24,8480045,U. Luukkonen
2023-11-25,TOR,0,1,1,0,5,21.433333333333334,W,3,2,,regular_season,2023-24,8479361,J. Woll
2023-11-28,NSH,0,0,0,0,3,20.283333333333335,L,2,3,,regular_season,2023-24,8477424,J. Saros
2023-11-30,TBL,1,0,1,1,5,19.316666666666666,W,4,2,,regular_season,2023-24,8476883,A. Vasilevskiy
2023-12-02,PHI,0,0,0,1,2,25.483333333333334,L,3,4,,regular_season,2023-24,8481035,S. Ersson
2023-12-04,PHI,1,0,1,-1,4,22.516666666666666,L,1,2,,regular_season,2023-24,8479394,C. Hart
2023-12-06,TBL,0,1,1,0,4,23.416666666666668,L,1,3,,regular_season,2023-24,8476883,A. Vasilevskiy
2023-12-08,FLA,0,0,0,-1,4,21.033333333333335,L,1,3,,regular_season,2023-24,8475683,S. Bobrovsky
2023-12-12,ARI,0,1,1,1,4,19.1,W,4,2,,regular_season,2023-24,8478971,C. Ingram
2023-12-13,MTL,2,1,3,0,2,22.1,W,4,3,,regular_season,2023-24,8478470,S. Montembeault
2023-12-16,TOR,0,0,0,-3,5,18.85,L,0,7,,regular_season,2023-24,8474889,M. Jones
2023-12-18,MIN,1,1,2,-2,4,22.066666666666666,W,4,3,,regular_season,2023-24,8479406,F. Gustavsson
2023-12-21,CAR,1,0,1,1,4,22.616666666666667,W,2,1,,regular_season,2023-24,8481611,P. Kochetkov
2023-12-23,OTT,0,1,1,1,2,21.583333333333332,L,4,5,,regular_season,2023-24,8476341,A. Forsberg
2023-12-27,NYI,0,0,0,2,0,18.783333333333335,W,7,0,,regular_season,2023-24,8478009,I. Sorokin
2023-12-30,STL,1,0,1,1,2,20.366666666666667,W,4,2,,regular_season,2023-24,8480981,J. Hofer
2023-12-31,NYI,0,0,0,0,3,18.166666666666668,W,3,1,,regular_season,2023-24,8478009,I. Sorokin
2024-01-02,WSH,1,1,2,2,1,22.4,L,3,4,,regular_season,2023-24,8475311,D. Kuemper
2024-01-04,BOS,1,2,3,1,3,18.65,W,6,5,,regular_season,2023-24,8480280,J. Swayman
2024-01-06,BUF,0,0,0,-1,2,20.766666666666666,L,1,3,,regular_season,2023-24,8480045,U. Luukkonen
2024-01-08,PHI,0,0,0,0,6,20.866666666666667,W,4,1,,regular_season,2023-24,8479394,C. Hart
2024-01-11,VAN,2,0,2,1,5,25.5,L,3,4,,regular_season,2023-24,8477967,T. Demko
2024-01-13,CAR,0,1,1,2,6,24.066666666666666,L,2,3,,regular_season,2023-24,8477293,A. Raanta
2024-01-15,SEA,2,0,2,2,4,19.6,W,3,0,,regular_season,2023-24,8478916,J. Daccord
2024-01-20,VGK,0,1,1,-1,3,19.866666666666667,L,2,3,,regular_season,2023-24,8480313,L. Thompson
2024-01-22,ARI,1,0,1,0,6,20.733333333333334,L,2,5,,regular_season,2023-24,8478971,C. Ingram
2024-01-26,FLA,0,1,1,1,5,25.533333333333335,L,2,3,,regular_season,2023-24,8475683,S. Bobrovsky
2024-01-27,MTL,0,1,1,0,1,20.1,W,3,2,,regular_season,2023-24,8474596,J. Allen
2024-02-06,WPG,0,1,1,0,2,19.083333333333332,W,3,0,,regular_season,2023-24,8476945,C. Hellebuyck
2024-02-09,MIN,1,0,1,-2,5,20.25,L,2,3,,regular_season,2023-24,8470594,M. Fleury
2024-02-10,WPG,0,0,0,0,1,19.65,L,1,2,,regular_season,2023-24,8476945,C. Hellebuyck
2024-02-14,FLA,0,0,0,-1,3,22.383333333333333,L,2,5,,regular_season,2023-24,8475683,S. Bobrovsky
2024-02-15,CHI,2,0,2,3,3,18.033333333333335,W,4,1,,regular_season,2023-24,8482821,A. Soderblom
2024-02-18,LAK,1,0,1,-1,2,21.383333333333333,L,1,2,,regular_season,2023-24,8475660,C. Talbot
2024-02-20,NYI,0,0,0,-2,7,21.666666666666668,L,4,5,,regular_season,2023-24,8478009,I. Sorokin
2024-02-22,MTL,0,1,1,0,2,17.116666666666667,W,4,1,,regular_season,2023-24,8480051,C. Primeau
2024-02-25,PHI,1,3,4,2,4,18.666666666666668,W,7,6,,regular_season,2023-24,8477361,C. Petersen
2024-02-27,VAN,0,2,2,-1,5,19.783333333333335,W,4,3,,regular_season,2023-24,8477967,T. Demko
2024-02-29,SEA,0,0,0,0,5,21.55,L,0,2,,regular_season,2023-24,8475831,P. Grubauer
2024-03-02,CGY,0,1,1,-1,4,18.383333333333333,L,3,4,,regular_season,2023-24,8474593,J. Markstrom
2024-03-03,EDM,0,0,0,-3,3,16.866666666666667,L,1,6,,regular_season,2023-24,8475717,C. Pickard
2024-03-05,CBJ,0,0,0,-1,2,21.516666666666666,W,5,3,,regular_season,2023-24,8482982,J. Greaves
2024-03-07,WSH,0,0,0,-3,8,18.766666666666666,L,0,6,,regular_season,2023-24,8479292,C. Lindgren
2024-03-09,BOS,0,1,1,-1,0,17.966666666666665,L,1,5,,regular_season,2023-24,8476999,L. Ullmark
2024-03-10,EDM,0,0,0,-3,2,19.25,L,0,4,,regular_season,2023-24,8475717,C. Pickard
2024-03-12,OTT,0,0,0,0,3,20.65,L,1,2,,regular_season,2023-24,8476914,J. Korpisalo
2024-03-14,SJS,0,1,1,0,3,18.716666666666665,W,6,3,,regular_season,2023-24,8480992,M. Chrona
2024-03-16,NYR,0,1,1,-1,1,21.8,L,4,7,,regular_season,2023-24,8471734,J. Quick
2024-03-17,DET,1,1,2,1,3,19.15,W,6,3,,regular_season,2023-24,8479312,A. Lyon
2024-03-19,NJD,0,1,1,0,5,21.516666666666666,L,2,5,,regular_season,2023-24,8474596,J. Allen
2024-03-22,DAL,0,0,0,-1,0,20.733333333333334,L,2,4,,regular_season,2023-24,8479979,J. Oettinger
2024-03-24,COL,1,3,4,0,5,20.166666666666668,L,4,5,,regular_season,2023-24,8480382,A. Georgiev
2024-03-26,CAR,1,2,3,3,2,19.833333333333332,W,4,1,,regular_season,2023-24,8481611,P. Kochetkov
2024-03-28,CBJ,0,2,2,-1,3,21.033333333333335,W,3,2,,regular_season,2023-24,8480193,D. Tarasov
2024-03-30,CBJ,0,1,1,-1,4,22.516666666666666,L,3,4,,regular_season,2023-24,8478007,E. Merzlikins
2024-04-01,NYR,2,1,3,3,3,19.65,W,5,2,,regular_season,2023-24,8478048,I. Shesterkin
2024-04-02,NJD,2,0,2,-1,2,16.15,W,6,3,,regular_season,2023-24,8474596,J. Allen
2024-04-04,WSH,0,0,0,1,0,18.833333333333332,W,4,1,,regular_season,2023-24,8479292,C. Lindgren
2024-04-06,TBL,1,0,1,1,2,18.55,W,5,4,,regular_season,2023-24,8476883,A. Vasilevskiy
2024-04-08,TOR,0,1,1,1,1,21.25,L,2,3,,regular_season,2023-24,8478492,I. Samsonov
2024-04-11,DET,1,2,3,0,5,19.583333333333332,W,6,5,,regular_season,2023-24,8479312,A. Lyon
2024-04-13,BOS,0,1,1,-1,1,19.8,L,4,6,,regular_season,2023-24,8476999,L. Ullmark
2024-04-15,NSH,1,1,2,-1,7,20.883333333333333,W,4,2,,regular_season,2023-24,8477424,J. Saros
2024-04-17,NYI,0,2,2,-1,3,19.783333333333335,L,4,5,,regular_season,2023-24,8478009,I. Sorokin
2024-10-09,NYR,0,0,0,-2,2,20.983333333333334,L,0,6,,regular_season,2024-25,8478048,I. Shesterkin
2024-10-10,DET,0,2,2,3,4,18.15,W,6,3,,regular_season,2024-25,8478024,V. Husso
2024-10-12,TOR,0,1,1,-2,3,21.0,L,2,4,,regular_season,2024-25,8476932,A. Stolarz
